# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       a/0/a02234745fffd54b32bd27055f0dd5a10f0335
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T00:07:23.801973
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=1 --dir-depth=2 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   9948e52 FS test: track number of leaf directories created
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7513172 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          1          2         1         1         1      0.000        ok       0.000  0x0005cd3800  0x0000185c00  0x000594dc00        25688          16        25672
0x0000001000          1          2         2         2         1      0.000        ok       0.000  0x0005cd3800  0x0000187800  0x000594c000        25688          19        25669
0x0000001000          1          2         3         3         1      0.000        ok       0.000  0x0005cd3800  0x0000189400  0x000594a400        25688          22        25666
0x0000001000          1          2         4         4         1      0.000        ok       0.000  0x0005cd3800  0x000018b000  0x0005948800        25688          25        25663
0x0000001000          1          2         5         5         1      0.000        ok       0.000  0x0005cd3800  0x000018cc00  0x0005946c00        25688          28        25660
0x0000001000          1          2         6         6         1      0.000        ok       0.000  0x0005cd3800  0x000018e400  0x0005945400        25688          30        25658
0x0000001000          1          2         7         7         1      0.000        ok       0.000  0x0005cd3800  0x000018fc00  0x0005943c00        25688          32        25656
0x0000001000          1          2         8         8         1      0.000        ok       0.000  0x0005cd3800  0x0000191400  0x0005942400        25688          34        25654
0x0000001000          1          2         9         9         1      0.000        ok       0.000  0x0005cd3800  0x0000193000  0x0005940800        25688          37        25651
0x0000001000          1          2        10        10         1      0.000        ok       0.000  0x0005cd3800  0x0000194c00  0x000593ec00        25688          40        25648
0x0000001000          1          2        11        11         1      0.000        ok       0.000  0x0005cd3800  0x0000196400  0x000593d400        25688          42        25646
0x0000001000          1          2        12        12         1      0.000        ok       0.000  0x0005cd3800  0x0000198000  0x000593b800        25688          45        25643
0x0000001000          1          2        13        13         1      0.000        ok       0.000  0x0005cd3800  0x0000199800  0x000593a000        25688          47        25641
0x0000001000          1          2        14        14         1      0.000        ok       0.000  0x0005cd3800  0x000019b000  0x0005938800        25688          49        25639
0x0000001000          1          2        15        15         1      0.000        ok       0.000  0x0005cd3800  0x000019c800  0x0005937000        25688          51        25637
0x0000001000          1          2        16        16         1      0.000        ok       0.000  0x0005cd3800  0x000019e400  0x0005935400        25688          54        25634
0x0000001000          1          2        17        17         1      0.000        ok       0.000  0x0005cd3800  0x00001a0000  0x0005933800        25688          57        25631
0x0000001000          1          2        18        18         1      0.000        ok       0.000  0x0005cd3800  0x00001a1c00  0x0005931c00        25688          60        25628
0x0000001000          1          2        19        19         1      0.000        ok       0.000  0x0005cd3800  0x00001a3800  0x0005930000        25688          63        25625
0x0000001000          1          2        20        20         1      0.000        ok       0.000  0x0005cd3800  0x00001a5000  0x000592e800        25688          65        25623
0x0000001000          1          2        21        21         1      0.000        ok       0.000  0x0005cd3800  0x00001a6c00  0x000592cc00        25688          68        25620
0x0000001000          1          2        22        22         1      0.000        ok       0.000  0x0005cd3800  0x00001a8400  0x000592b400        25688          70        25618
0x0000001000          1          2        23        22         2      0.000        ok       0.000  0x0005cd3800  0x00001a9800  0x000592a000        25688          71        25617
0x0000001000          1          2        24        23         1      0.000        ok       0.000  0x0005cd3800  0x00001ab000  0x0005928800        25688          73        25615
0x0000001000          1          2        25        24         1      0.000        ok       0.000  0x0005cd3800  0x00001ac800  0x0005927000        25688          75        25613
0x0000001000          1          2        26        25         1      0.000        ok       0.000  0x0005cd3800  0x00001ae000  0x0005925800        25688          77        25611
0x0000001000          1          2        27        26         1      0.000        ok       0.000  0x0005cd3800  0x00001af800  0x0005924000        25688          79        25609
0x0000001000          1          2        28        26         2      0.000        ok       0.000  0x0005cd3800  0x00001b0c00  0x0005922c00        25688          80        25608
0x0000001000          1          2        29        27         1      0.000        ok       0.000  0x0005cd3800  0x00001b2400  0x0005921400        25688          82        25606
0x0000001000          1          2        30        28         1      0.000        ok       0.000  0x0005cd3800  0x00001b3c00  0x000591fc00        25688          84        25604
0x0000001000          1          2        31        29         1      0.000        ok       0.000  0x0005cd3800  0x00001b5400  0x000591e400        25688          86        25602
0x0000001000          1          2        32        30         1      0.000        ok       0.000  0x0005cd3800  0x00001b6c00  0x000591cc00        25688          88        25600
0x0000001000          1          2        33        31         1      0.000        ok       0.000  0x0005cd3800  0x00001b8400  0x000591b400        25688          90        25598
0x0000001000          1          2        34        31         2      0.000        ok       0.000  0x0005cd3800  0x00001b9800  0x000591a000        25688          91        25597
0x0000001000          1          2        35        32         1      0.000        ok       0.000  0x0005cd3800  0x00001bb000  0x0005918800        25688          93        25595
0x0000001000          1          2        36        33         1      0.000        ok       0.000  0x0005cd3800  0x00001bc800  0x0005917000        25688          95        25593
